Link,Name
http://www.wikidata.org/entity/Q16736885,संजयकाका पाटिल
http://www.wikidata.org/entity/Q31335522,राम रूप सिंह
http://www.wikidata.org/entity/Q16902233,कुंवर पुष्पेन्द्र सिंह चंदेल
http://www.wikidata.org/entity/Q4900304,बेजवाड़ा गोपाला रेड्डी
http://www.wikidata.org/entity/Q31336049,अब्दुल खालिक हकीम
http://www.wikidata.org/entity/Q45789,सत्येन्द्र नाथ बसु
http://www.wikidata.org/entity/Q31329939,गंगा प्रसाद
http://www.wikidata.org/entity/Q7238171,प्रकाश चंद्र सेठी
http://www.wikidata.org/entity/Q3632740,कपिला वात्स्यायन
http://www.wikidata.org/entity/Q31332400,कौतवाल सिंह भदौरिया
http://www.wikidata.org/entity/Q5094601,मुकुल संगमा
http://www.wikidata.org/entity/Q7637157,सुमित्रा सिंह
http://www.wikidata.org/entity/Q377312,थोल. थिरुमावलवन
http://www.wikidata.org/entity/Q3632530,मधु लिमये
http://www.wikidata.org/entity/Q61103089,फूल सिंह
http://www.wikidata.org/entity/Q6963115,नंद किशोर यादव
http://www.wikidata.org/entity/Q64587105,जब्बर सिंह सांखला
http://www.wikidata.org/entity/Q31333278,महाबीर प्रसाद शुक्ल
http://www.wikidata.org/entity/Q31337874,राजाराम सिंह
http://www.wikidata.org/entity/Q31332066,हबीबुर्रहमान अन्सारी
http://www.wikidata.org/entity/Q24883118,बाला बच्चन
http://www.wikidata.org/entity/Q16902180,केशव प्रसाद मौर्य
http://www.wikidata.org/entity/Q31331729,विष्णु शरण दुब्लिश
http://www.wikidata.org/entity/Q464900,शीला दीक्षित
http://www.wikidata.org/entity/Q7387599,एस. के. वनखेड़
http://www.wikidata.org/entity/Q63992380,होरेन सिंग बे
http://www.wikidata.org/entity/Q31314204,मदन गोपाल वर्मा
http://www.wikidata.org/entity/Q31314420,विजय सिंह पुत्र प्रेम सिंह
http://www.wikidata.org/entity/Q18111860,आनन्द दिघे
http://www.wikidata.org/entity/Q6733773,महेंद्र सिंह मेवाड़
http://www.wikidata.org/entity/Q6323911,राम दुलारी सिन्हा
http://www.wikidata.org/entity/Q6966033,नार्ला वेंकटेस्वर राव
http://www.wikidata.org/entity/Q19604740,हिंदी
http://www.wikidata.org/entity/Q6712404,एम्. अराम
http://www.wikidata.org/entity/Q31333654,चौधरी विशाल सिंह
http://www.wikidata.org/entity/Q31334847,बेदराम
http://www.wikidata.org/entity/Q9575,हरिवंश राय बच्चन
http://www.wikidata.org/entity/Q31323013,घूराराम
http://www.wikidata.org/entity/Q31332293,उमाशंकर शुक्ल
http://www.wikidata.org/entity/Q6965464,नारायण भास्कर खरे
http://www.wikidata.org/entity/Q5208964,डाह्याभाई पटेल
http://www.wikidata.org/entity/Q31337226,मंजूर अहमद
